 69, -1, 69, -1, 69, -1, 69, -1, 69, -1, 69, -1, 69, -1, 69, -1, 69, -1, 69, -1
101, 59, -1, -1, 57, 57, -1, 57, -1, 57, -1, 57, -1, 57, -1, 57, -1, -1, -1, -1
 -1, -1, -1, -1,999, 56, 55, 56,999, 56, 55, 56,999, 56, 55, 56,999, 55,999, -1
 -1, -1, -1, -1, -1, 58, -1, 58, -1, 58, -1, 58, -1, 58, -1, 58, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, 57, 57, -1, 57, -1, 57, -1, 57, -1, 57, -1, 57, -1, -1, -1, -1
 -1, -1, -1, -1,999, 56, 55, 56,999, 56, 55, 56,999, 56, 55, 56,999, 55,999, -1
 -1, -1, -1, -1, -1, 58, -1, 58, -1, 58, -1, 58, -1, 58, -1, 58, -1, -1, -1, -1
 -1,990, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
